JW=  1    A=   74.38    NA=    93    Q(I)=0.07/0.02/0.16/0.20/0.12/0.04/0.05/0.10/0.14/0.06/0.01/0.02/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
      1        0.00        9       1       32.0          0.0       0.0       0.0          0.44         53
      2        1.44        5       1       42.7        -20.0      29.0     -19.0          4.79          5
      3        1.78        4       2       41.4          0.0       0.0       0.0          2.36         61
      4        1.93        4       1       63.7          0.0       0.0       0.0          1.33         46
      5        2.17        9       1       35.1          0.0       0.0       0.0          1.38         30
      6        3.14        6       8       49.6          0.0       0.0       0.0          5.97         39
      7        3.49        4       2       49.0          0.0       0.0       0.0          1.15         48
      8        5.57        5       2       23.0         13.0     -17.0      13.0          0.44         31
      9        5.62        3       1       73.0          0.0       0.0       0.0          2.83         39
     10        6.29        1       5        0.0          0.0       0.0       0.0          7.28         30
     11        6.70        4       2       38.8          0.0       0.0       0.0          0.57         44
     12        7.26        9       1       54.9          0.0       0.0       0.0          0.00         21
     13        7.68        7       1       53.6          0.0       0.0       0.0          0.00          1
     14       10.80       10       1       33.6          0.0       0.0       0.0          2.16         44
     15       10.83        5       2       45.5        -29.0      27.0     -27.0          3.23         40
     16       12.29        4       1       60.8          0.0       0.0       0.0          1.66         23
     17       12.87        6       1       56.5          0.0       0.0       0.0          3.60         45
     18       13.70        8       1       45.9          0.0       0.0       0.0          0.00         33
     19       14.53        4       2       41.8          0.0       0.0       0.0          0.94         18
     20       14.78        9       1       33.1          0.0       0.0       0.0          3.03         16
     21       16.24        8       1       57.1          0.0       0.0       0.0          0.00         43
     22       16.60        8       2       36.1          0.0       0.0       0.0          0.00         52
     23       16.62        5       1       51.1         32.0      21.0      30.0          2.35         37
     24       17.13        9       1       46.6          0.0       0.0       0.0          0.00         44
     25       19.11        3       1       60.7          0.0       0.0       0.0          1.43         48
     26       19.17        9       1       41.7          0.0       0.0       0.0          0.74         44
     27       19.93        2       1       31.9          0.0       0.0       0.0          5.47         21
     28       21.20        4       2       22.7          0.0       0.0       0.0          1.63         25
     29       23.90        8       2       38.8          0.0       0.0       0.0          0.00         54
     30       24.61        9       1       58.9          0.0       0.0       0.0          0.78         48
     31       25.20        1       8        0.0          0.0       0.0       0.0          5.87         30
     32       26.06        8       1       53.1          0.0       0.0       0.0          0.00         35
     33       26.49        5       2       49.8         -4.0      -6.0       4.0          6.18          8
     34       27.47        8       1       59.6          0.0       0.0       0.0          0.00          7
     35       27.70        6       8       34.2          0.0       0.0       0.0          0.34         25
     36       27.99        6       3       43.0          0.0       0.0       0.0          2.68         52
     37       30.30        9       1       42.6          0.0       0.0       0.0          2.17         20
     38       30.83        4       1       66.3          0.0       0.0       0.0          3.04         19
     39       31.03       10       1       40.0          0.0       0.0       0.0          0.00          8
     40       31.21        8       1       57.5          0.0       0.0       0.0          0.00         51
     41       31.41        4       2       17.5          0.0       0.0       0.0          2.48         10
     42       32.74        8       2       21.1          0.0       0.0       0.0          0.00         44
     43       32.93        4       1       44.8          0.0       0.0       0.0          3.04          7
     44       32.97        8       2       34.5          0.0       0.0       0.0          0.00         54
     45       34.87       10       1       50.9          0.0       0.0       0.0          2.50         50
     46       36.18        1       3        0.0          0.0       0.0       0.0          3.10         59
     47       36.41        1       6        0.0          0.0       0.0       0.0          2.80         36
     48       36.53        2       1       45.0          0.0       0.0       0.0          6.30         28
     49       37.39        1       3        0.0          0.0       0.0       0.0          5.36         21
     50       37.94        1       9        0.0          0.0       0.0       0.0          2.67         13

JW=  1    A=   74.38    NA=    93    Q(I)=0.07/0.02/0.16/0.20/0.12/0.04/0.05/0.10/0.14/0.06/0.01/0.02/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
     51       38.91       10       1       33.1          0.0       0.0       0.0          2.73         29
     52       39.18        3       1       52.4          0.0       0.0       0.0          1.29         59
     53       41.05        3       1       50.7          0.0       0.0       0.0          1.35         56
     54       42.46        2       1       37.4          0.0       0.0       0.0          2.85         50
     55       43.23        4       1       45.5          0.0       0.0       0.0          2.60         20
     56       43.43        9       1       41.3          0.0       0.0       0.0          0.03         51
     57       44.30        8       1       43.7          0.0       0.0       0.0          0.00         13
     58       44.42        4       1       44.5          0.0       0.0       0.0          4.76         29
     59       45.42        5       2       39.0        -10.0      -6.0       9.0          1.01         13
     60       45.77        1       6        0.0          0.0       0.0       0.0          2.41         61
     61       46.04        8       1       41.3          0.0       0.0       0.0          0.00         49
     62       46.74        5       1       78.9          6.0      -5.0       5.0          2.89         27
     63       51.87        3       1       65.7          0.0       0.0       0.0          3.10          6
     64       51.96        6       5       59.9          0.0       0.0       0.0          3.90         38
     65       54.17        9       1       33.0          0.0       0.0       0.0          1.11         33
     66       54.44        5       2       49.7        -51.0     -31.0     -47.0          4.14         44
     67       55.36        8       1       35.5          0.0       0.0       0.0          0.00         55
     68       56.40        9       1       34.3          0.0       0.0       0.0          2.21         37
     69       57.89        7       1       49.5          0.0       0.0       0.0          0.00         38
     70       58.00        9       1       41.1          0.0       0.0       0.0          2.11         35
     71       58.23        5       1       42.9        -19.0     -22.0      18.0          1.45         47
     72       59.12        4       1       49.1          0.0       0.0       0.0          3.92         59
     73       59.26        6       8       59.4          0.0       0.0       0.0          1.97         63
     74       59.52        4       2       18.2          0.0       0.0       0.0          1.31         16
     75       62.85        8       1       55.3          0.0       0.0       0.0          0.00         44
     76       63.44        7       1       56.4          0.0       0.0       0.0          0.00         10
     77       63.68       12       1       73.5          0.0       0.0       0.0          2.51         36
     78       63.84        9       1       44.8          0.0       0.0       0.0          1.12          2
     79       64.03        4       1       48.5          0.0       0.0       0.0          4.16         18
     80       65.67        4       1       54.5          0.0       0.0       0.0          3.20         41
     81       65.77        4       1       33.9          0.0       0.0       0.0          2.57         28
     82       65.86        4       1       58.0          0.0       0.0       0.0          3.69         59
     83       66.98        1      10        0.0          0.0       0.0       0.0          5.09         25
     84       68.33        5       2       61.2        -32.0     -22.0     -30.0          6.32          3
     85       68.44        9       1       33.8          0.0       0.0       0.0          2.28          8
     86       70.01        9       1       42.0          0.0       0.0       0.0          1.82          8
     87       70.01        9       1       49.1          0.0       0.0       0.0          2.72          6
     88       70.65        9       1       48.7          0.0       0.0       0.0          2.13         51
     89       72.06        9       1       42.7          0.0       0.0       0.0          0.54         41
     90       72.29        8       1       54.8          0.0       0.0       0.0          0.00          5
     91       72.53        8       2       38.1          0.0       0.0       0.0          0.00         61
     92       72.89        3       1       65.4          0.0       0.0       0.0          1.86         40
     93       73.13        8       2       45.4          0.0       0.0       0.0          0.00         31

JW=  2    A=   27.26    NA=   106    Q(I)=0.05/0.01/0.01/0.01/0.06/0.20/0.11/0.28/0.08/0.15/0.03/0.02/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
      1        0.00        7       2       18.3          0.0       0.0       0.0          0.00          0
      2        0.56        8       1       66.8          0.0       0.0       0.0          0.00          6
      3        0.79        8       1       48.3          0.0       0.0       0.0          0.00         58
      4        0.95       10       1       42.2          0.0       0.0       0.0          0.29         49
      5        1.09        8       2       33.3          0.0       0.0       0.0          0.00         60
      6        1.32       10       1       49.9          0.0       0.0       0.0          0.71         33
      7        1.44        5       1       40.2         24.0     -15.0     -15.0          4.07         37
      8        2.05        6       1       46.6          0.0       0.0       0.0          2.93         30
      9        2.52        9       1       44.6          0.0       0.0       0.0          0.17         26
     10        2.87       10       1       40.8          0.0       0.0       0.0          0.15         55
     11        2.96        8       2       39.8          0.0       0.0       0.0          0.00         21
     12        3.02        9       1       50.0          0.0       0.0       0.0          1.80         52
     13        3.29        8       1       51.6          0.0       0.0       0.0          0.00         40
     14        3.54        8       1       56.9          0.0       0.0       0.0          0.00          6
     15        3.58        8       2       45.0          0.0       0.0       0.0          0.00         35
     16        3.59        8       1       63.2          0.0       0.0       0.0          0.00         49
     17        4.07       11       1       24.5          0.0       0.0       0.0          1.82         38
     18        4.34        8       2       47.0          0.0       0.0       0.0          0.00         37
     19        4.41        7       1       51.5          0.0       0.0       0.0          0.00         47
     20        4.57        8       1       45.7          0.0       0.0       0.0          0.00         54
     21        4.85        7       1       37.2          0.0       0.0       0.0          0.00         23
     22        5.17        8       1       60.1          0.0       0.0       0.0          0.00          3
     23        5.20       10       1       41.8          0.0       0.0       0.0          0.64         52
     24        5.31        8       1       53.1          0.0       0.0       0.0          0.00         24
     25        5.56        9       1       51.1          0.0       0.0       0.0          0.50         15
     26        5.86       10       1       46.4          0.0       0.0       0.0          0.59          2
     27        5.97        9       1       42.1          0.0       0.0       0.0          1.05          5
     28        6.42        7       2       18.9          0.0       0.0       0.0          0.00         20
     29        6.60        5       1       48.3         34.0      34.0     -21.0          2.83         37
     30        6.86       11       1       27.8          0.0       0.0       0.0          1.50          7
     31        6.88        8       1       36.7          0.0       0.0       0.0          0.00         60
     32        7.12        9       1       48.3          0.0       0.0       0.0          0.84         29
     33        8.83       10       1       45.9          0.0       0.0       0.0          0.38         23
     34        8.94        8       2       45.0          0.0       0.0       0.0          0.00         35
     35        9.08        8       2       46.5          0.0       0.0       0.0          0.00         32
     36        9.26        7       2       17.2          0.0       0.0       0.0          0.00         37
     37       10.05       12       2       17.7          0.0       0.0       0.0          4.71         35
     38       10.52       10       1       62.9          0.0       0.0       0.0          0.63          0
     39       10.60        7       2       31.3          0.0       0.0       0.0          0.00         50
     40       11.08       10       1       58.1          0.0       0.0       0.0          0.35         57
     41       11.90        5       2       60.9         -7.0      -7.0       4.0          0.87         62
     42       12.02       11       1       29.8          0.0       0.0       0.0          1.59         24
     43       12.14        7       2       25.2          0.0       0.0       0.0          0.00          4
     44       12.19        7       2       28.3          0.0       0.0       0.0          0.00          4
     45       12.61        8       1       43.7          0.0       0.0       0.0          0.00         40
     46       12.81        5       1       67.5         12.0     -10.0      -7.0          3.65         18
     47       13.12        6       6       29.3          0.0       0.0       0.0          2.03          3
     48       13.37       10       1       62.6          0.0       0.0       0.0          0.43         48
     49       13.40        7       2       46.1          0.0       0.0       0.0          0.00         47
     50       13.58        6       8       77.2          0.0       0.0       0.0          2.40         12

JW=  2    A=   27.26    NA=   106    Q(I)=0.05/0.01/0.01/0.01/0.06/0.20/0.11/0.28/0.08/0.15/0.03/0.02/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
     51       13.58        6       7       13.0          0.0       0.0       0.0          0.24         62
     52       13.59        5       2       56.8        -11.0       4.0      -7.0          1.09         11
     53       13.66       10       1       53.5          0.0       0.0       0.0          0.41         45
     54       13.71        7       1       41.5          0.0       0.0       0.0          0.00          7
     55       14.00       11       1       32.1          0.0       0.0       0.0          2.67         40
     56       14.08        9       1       42.1          0.0       0.0       0.0          1.96         58
     57       14.35       10       1       59.3          0.0       0.0       0.0          0.44         20
     58       14.85        1       9        0.0          0.0       0.0       0.0          4.58         40
     59       14.97        4       2       27.9          0.0       0.0       0.0          2.66         11
     60       15.40        8       2       26.2          0.0       0.0       0.0          0.00         49
     61       16.49        3       1       66.6          0.0       0.0       0.0          4.78         46
     62       16.50        6       7       11.8          0.0       0.0       0.0          0.22         57
     63       16.64        6       7       11.5          0.0       0.0       0.0          1.50         27
     64       16.70       10       1       52.9          0.0       0.0       0.0          0.34          2
     65       17.00        8       2       32.6          0.0       0.0       0.0          0.00         50
     66       17.08        7       1       53.9          0.0       0.0       0.0          0.00         20
     67       17.17        6       5       53.1          0.0       0.0       0.0          1.98         12
     68       17.64        6       4       23.2          0.0       0.0       0.0          1.14         38
     69       17.65        7       2       33.1          0.0       0.0       0.0          0.00         42
     70       18.86        5       2       30.0        -33.0     -18.0     -21.0          3.41         28
     71       18.96        1       3        0.0          0.0       0.0       0.0          1.44         58
     72       19.60        6       2       32.7          0.0       0.0       0.0          2.49         40
     73       19.92       10       1       50.0          0.0       0.0       0.0          0.60         39
     74       20.10        8       1       60.4          0.0       0.0       0.0          0.00         40
     75       20.80        8       2       48.0          0.0       0.0       0.0          0.00         16
     76       20.86        8       1       59.6          0.0       0.0       0.0          0.00         59
     77       21.11        9       1       44.4          0.0       0.0       0.0          0.91         33
     78       21.22        6       5       57.7          0.0       0.0       0.0          1.74         40
     79       21.36        8       1       56.7          0.0       0.0       0.0          0.00         19
     80       21.84        6       8       64.7          0.0       0.0       0.0          2.88         34
     81       22.18        9       1       56.0          0.0       0.0       0.0          1.67          9
     82       22.53        6       5       56.3          0.0       0.0       0.0          1.91         46
     83       24.11        7       1       35.8          0.0       0.0       0.0          0.00         43
     84       24.38       10       1       59.7          0.0       0.0       0.0          0.79          4
