JW=  1    A=   31.11    NA=   359    Q(I)=0.11/0.05/0.05/0.06/0.11/0.25/0.04/0.04/0.13/0.07/0.06/0.03/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
      1        0.00        5       2       18.0          0.0       0.0       0.0          0.36         30
      2        0.07        6       8       36.9          0.0       0.0       0.0          0.17         28
      3        0.15        9       1       64.3          0.0       0.0       0.0          0.53         41
      4        0.27        6       2       58.7          0.0       0.0       0.0          1.34          6
      5        0.40        8       2       22.8          0.0       0.0       0.0          0.00         51
      6        0.48        6       5       58.3          0.0       0.0       0.0          0.94          2
      7        0.61        8       1       53.3          0.0       0.0       0.0          0.00          6
      8        0.61       10       1       34.7          0.0       0.0       0.0          0.17         10
      9        0.62       11       1       26.3          0.0       0.0       0.0          0.32         30
     10        0.63        3       1       73.8          0.0       0.0       0.0          0.63         42
     11        0.70        8       1       56.0          0.0       0.0       0.0          0.00         60
     12        0.80        6       3       23.6          0.0       0.0       0.0          0.24          6
     13        0.80        6       7       12.0          0.0       0.0       0.0          0.25         15
     14        0.84        9       1       61.1          0.0       0.0       0.0          0.10         51
     15        0.96        6       1       62.0          0.0       0.0       0.0          0.26         12
     16        0.97        6       6       21.2          0.0       0.0       0.0          0.83         36
     17        1.01        3       1       70.8          0.0       0.0       0.0          1.20         24
     18        1.12        6       1       74.5          0.0       0.0       0.0          0.61         24
     19        1.16       12       2       21.0          0.0       0.0       0.0          3.66         33
     20        1.30        1       6        0.0          0.0       0.0       0.0          1.29         54
     21        1.32        7       1       40.6          0.0       0.0       0.0          0.00         33
     22        1.52       11       1       49.9          0.0       0.0       0.0          0.05         62
     23        1.59        1       4        0.0          0.0       0.0       0.0          1.78         23
     24        1.63        9       1       57.0          0.0       0.0       0.0          0.33         53
     25        1.67        3       1       45.4          0.0       0.0       0.0          0.21         10
     26        1.70        6       7       11.8          0.0       0.0       0.0          0.39         26
     27        1.71        6       6       35.3          0.0       0.0       0.0          1.08         17
     28        1.73        6       6       34.7          0.0       0.0       0.0          0.29          2
     29        2.18        8       2       41.6          0.0       0.0       0.0          0.00         18
     30        2.38        6       8       43.1          0.0       0.0       0.0          0.00         50
     31        2.39        6       1       58.2          0.0       0.0       0.0          0.40          2
     32        2.43        3       1       42.6          0.0       0.0       0.0          0.74         44
     33        2.48        8       1       52.1          0.0       0.0       0.0          0.00         56
     34        2.55        6       1       65.3          0.0       0.0       0.0          1.26         31
     35        2.55        9       1       49.8          0.0       0.0       0.0          0.01          1
     36        2.73        7       2       23.7          0.0       0.0       0.0          0.00         43
     37        2.79        5       2       53.2        -26.0      22.0      11.0          0.00         49
     38        2.81       11       1       25.3          0.0       0.0       0.0          0.55         39
     39        2.83        1      10        0.0          0.0       0.0       0.0          1.63         24
     40        2.85        3       1       43.9          0.0       0.0       0.0          0.23         62
     41        2.85       12       2       35.8          0.0       0.0       0.0          1.79         12
     42        2.91        6       7       12.8          0.0       0.0       0.0          0.40         21
     43        3.05        6       1       68.7          0.0       0.0       0.0          1.26         35
     44        3.16        7       1       47.3          0.0       0.0       0.0          0.00         22
     45        3.18        9       1       41.0          0.0       0.0       0.0          0.18         31
     46        3.30        4       1       34.6          0.0       0.0       0.0          1.17          1
     47        3.31        4       2       21.6          0.0       0.0       0.0          1.52         61
     48        3.41        6       1       64.3          0.0       0.0       0.0          0.97         35
     49        3.43        5       1       49.9        -39.0     -14.0      16.0          0.84          3
     50        3.46        6       7       12.9          0.0       0.0       0.0          0.33          8

JW=  1    A=   31.11    NA=   359    Q(I)=0.11/0.05/0.05/0.06/0.11/0.25/0.04/0.04/0.13/0.07/0.06/0.03/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
     51        3.59        3       1       40.3          0.0       0.0       0.0          0.38         46
     52        3.70        9       1       51.7          0.0       0.0       0.0          0.12         49
     53        3.74        4       1       35.8          0.0       0.0       0.0          0.94         16
     54        4.03        3       1       49.3          0.0       0.0       0.0          0.86         34
     55        4.18       11       1       32.1          0.0       0.0       0.0          0.25         27
     56        4.21        1       4        0.0          0.0       0.0       0.0          2.50          3
     57        4.22        8       1       35.1          0.0       0.0       0.0          0.00          5
     58        4.25        9       1       41.4          0.0       0.0       0.0          0.34          1
     59        4.28        2       1       18.6          0.0       0.0       0.0          0.58          2
     60        4.33        9       1       52.1          0.0       0.0       0.0          0.15         16
     61        4.37        1       3        0.0          0.0       0.0       0.0          1.70          6
     62        4.59       10       1       41.3          0.0       0.0       0.0          0.26         33
     63        4.62        9       1       52.0          0.0       0.0       0.0          0.42         31
     64        4.65        9       1       54.5          0.0       0.0       0.0          0.31         28
     65        4.68        1       7        0.0          0.0       0.0       0.0          0.36          9
     66        4.75        4       1       34.9          0.0       0.0       0.0          1.53          1
     67        4.79        8       1       62.2          0.0       0.0       0.0          0.00         18
     68        4.96        6       4       26.1          0.0       0.0       0.0          0.68         36
     69        5.00        6       3       34.9          0.0       0.0       0.0          0.53         40
     70        5.03        4       2       25.1          0.0       0.0       0.0          1.26         57
     71        5.07        9       1       45.0          0.0       0.0       0.0          0.31         44
     72        5.07       10       1       37.5          0.0       0.0       0.0          0.45         14
     73        5.20        9       1       46.5          0.0       0.0       0.0          0.26         15
     74        5.30        5       1       50.9         -3.0      -2.0       1.0          1.00         20
     75        5.31        1      11        0.0          0.0       0.0       0.0          2.36         10
     76        5.40        1       9        0.0          0.0       0.0       0.0          2.28         37
     77        5.42        6       1       61.3          0.0       0.0       0.0          0.38          7
     78        5.45        2       1       23.3          0.0       0.0       0.0          0.29         28
     79        5.50        6       7       12.5          0.0       0.0       0.0          0.50         62
     80        5.56        5       2       43.8         21.0      13.0       9.0          0.88         56
     81        5.72       10       1       40.3          0.0       0.0       0.0          0.32         33
     82        5.83        5       1       49.5        -39.0      32.0     -16.0          0.36         34
     83        5.93        6       3       19.1          0.0       0.0       0.0          0.70         27
     84        6.12        6       7       12.1          0.0       0.0       0.0          0.16         49
     85        6.15        7       2       25.8          0.0       0.0       0.0          0.00         33
     86        6.43        6       1       52.2          0.0       0.0       0.0          0.82         17
     87        6.72        8       1       54.0          0.0       0.0       0.0          0.00         37
     88        6.79       11       1       41.5          0.0       0.0       0.0          0.31         48
     89        6.84       11       1       51.7          0.0       0.0       0.0          0.34         62
     90        6.94        6       3       25.3          0.0       0.0       0.0          0.50         62
     91        7.04        9       1       41.1          0.0       0.0       0.0          0.41         49
     92        7.07        1       2        0.0          0.0       0.0       0.0          2.60         33
     93        7.13        5       1       57.9         35.0     -37.0      15.0          0.27         44
     94        7.15        4       1       38.2          0.0       0.0       0.0          1.60         34
     95        7.15        8       2       47.5          0.0       0.0       0.0          0.00         24
     96        7.25        9       1       52.8          0.0       0.0       0.0          0.28         17
     97        7.29        9       1       44.1          0.0       0.0       0.0          0.35         33
     98        7.45       11       1       47.9          0.0       0.0       0.0          0.65         28
     99        7.49       10       1       45.3          0.0       0.0       0.0          0.24         45
    100        7.76        9       1       36.9          0.0       0.0       0.0          0.15         52

JW=  1    A=   31.11    NA=   359    Q(I)=0.11/0.05/0.05/0.06/0.11/0.25/0.04/0.04/0.13/0.07/0.06/0.03/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    101        7.79        4       1       52.7          0.0       0.0       0.0          2.25          5
    102        8.00       11       1       45.2          0.0       0.0       0.0          0.19         34
    103        8.15        6       5       52.8          0.0       0.0       0.0          0.58         31
    104        8.18        9       1       59.2          0.0       0.0       0.0          0.14          5
    105        8.19        6       1       62.4          0.0       0.0       0.0          1.28         18
    106        8.19        6       1       70.1          0.0       0.0       0.0          1.62          1
    107        8.62        7       2       33.5          0.0       0.0       0.0          0.00         33
    108        8.67        6       3       30.6          0.0       0.0       0.0          0.36         47
    109        8.69        6       7       12.5          0.0       0.0       0.0          0.16         17
    110        8.85        1       9        0.0          0.0       0.0       0.0          0.89         19
    111        8.85        9       1       55.7          0.0       0.0       0.0          0.53         34
    112        8.87        6       7       12.5          0.0       0.0       0.0          0.00         33
    113        9.17        6       8       47.5          0.0       0.0       0.0          0.83         36
    114        9.41        3       1       53.2          0.0       0.0       0.0          0.16         36
    115        9.51        1       2        0.0          0.0       0.0       0.0          2.54          1
    116        9.54        5       1       75.7         37.0     -17.0     -16.0          0.07         17
    117        9.72        6       7       11.9          0.0       0.0       0.0          0.23         56
    118        9.73       10       1       40.5          0.0       0.0       0.0          0.30         43
    119        9.90        4       1       41.0          0.0       0.0       0.0          1.02         52
    120       10.00        1       8        0.0          0.0       0.0       0.0          2.28         12
    121       10.18       12       1       55.6          0.0       0.0       0.0          0.68         32
    122       10.19        6       7       13.0          0.0       0.0       0.0          0.10          1
    123       10.26        6       7       12.9          0.0       0.0       0.0          0.53          6
    124       10.27        9       1       43.4          0.0       0.0       0.0          0.15         46
    125       10.33       12       2       44.1          0.0       0.0       0.0          2.45         52
    126       10.38        3       1       74.2          0.0       0.0       0.0          0.28         45
    127       10.45        1       8        0.0          0.0       0.0       0.0          0.53         52
    128       10.50        9       1       33.7          0.0       0.0       0.0          0.42         35
    129       10.87        3       1       61.7          0.0       0.0       0.0          0.33         35
    130       10.97        9       1       39.0          0.0       0.0       0.0          0.65          1
    131       10.98        5       1       70.4         -0.0      -0.0       0.0          0.94          2
    132       11.29        2       1       22.8          0.0       0.0       0.0          0.75         38
    133       11.35        5       3       23.8        -49.0      36.0      21.0          1.06         47
    134       11.48        5       2       59.5        -33.0     -22.0      13.0          0.14         24
    135       11.50        2       1       23.3          0.0       0.0       0.0          0.45         50
    136       11.71        6       5       54.0          0.0       0.0       0.0          0.90         44
    137       11.84        5       2       48.9         -4.0       2.0      -2.0          0.27         25
    138       11.88        4       2       44.4          0.0       0.0       0.0          1.15          3
    139       11.93        2       1       29.3          0.0       0.0       0.0          0.69          0
    140       11.99        2       1       28.2          0.0       0.0       0.0          0.38          5
    141       12.03       10       1       44.7          0.0       0.0       0.0          0.27         60
    142       12.06        9       1       46.4          0.0       0.0       0.0          0.19         60
    143       12.09       10       1       44.1          0.0       0.0       0.0          0.14         51
    144       12.26        1       4        0.0          0.0       0.0       0.0          0.92         39
    145       12.39        5       3       25.2        -38.0      34.0     -16.0          0.49         26
    146       12.40        1       1        0.0          0.0       0.0       0.0          0.70         10
    147       12.58        6       5       49.4          0.0       0.0       0.0          1.17          0
    148       12.80       12       1       46.6          0.0       0.0       0.0          0.99         59
    149       12.99       10       1       61.5          0.0       0.0       0.0          0.26         54
    150       13.22        1       2        0.0          0.0       0.0       0.0          2.29         23

JW=  1    A=   31.11    NA=   359    Q(I)=0.11/0.05/0.05/0.06/0.11/0.25/0.04/0.04/0.13/0.07/0.06/0.03/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    151       13.26        4       1       35.7          0.0       0.0       0.0          1.47          3
    152       13.29        8       1       58.1          0.0       0.0       0.0          0.00         28
    153       13.32        6       3       37.3          0.0       0.0       0.0          0.45         60
    154       13.36        2       1       49.3          0.0       0.0       0.0          0.59         18
    155       13.37        6       1       61.9          0.0       0.0       0.0          0.42         18
    156       13.50        4       1       29.2          0.0       0.0       0.0          1.47         27
    157       13.64        6       1       64.7          0.0       0.0       0.0          0.19         60
    158       13.66        3       1       65.9          0.0       0.0       0.0          1.41         35
    159       14.14        9       1       43.7          0.0       0.0       0.0          0.56          3
    160       14.53        5       1       70.6        -42.0     -17.0      17.0          1.37         39
    161       14.56        4       1       43.9          0.0       0.0       0.0          2.04         53
    162       14.59        2       1       44.2          0.0       0.0       0.0          0.23         14
    163       14.61        4       1       35.1          0.0       0.0       0.0          1.87         61
    164       14.64        5       1       83.8         15.0       8.0       6.0          0.60         60
    165       14.65        9       1       46.4          0.0       0.0       0.0          0.13         12
    166       14.71        6       1       72.8          0.0       0.0       0.0          0.71         41
    167       14.73        1       5        0.0          0.0       0.0       0.0          2.07         22
    168       14.82        4       1       37.6          0.0       0.0       0.0          0.14         32
    169       14.84        3       1       50.4          0.0       0.0       0.0          1.46         16
    170       14.87        2       1       40.0          0.0       0.0       0.0          0.68         33
    171       15.17       11       1       27.3          0.0       0.0       0.0          0.63         18
    172       15.23        9       1       36.6          0.0       0.0       0.0          0.09         23
    173       15.36        6       8       44.7          0.0       0.0       0.0          0.21         44
    174       15.50        6       8       45.9          0.0       0.0       0.0          0.80         13
    175       15.58        4       2       45.1          0.0       0.0       0.0          0.84         54
    176       15.89        4       1       52.6          0.0       0.0       0.0          1.15          4
    177       15.99        6       7       12.4          0.0       0.0       0.0          0.39         38
    178       16.11        1       9        0.0          0.0       0.0       0.0          2.10         44
    179       16.13        6       4       44.0          0.0       0.0       0.0          0.95         53
    180       16.22       10       1       43.3          0.0       0.0       0.0          0.32         10
    181       16.27        6       1       74.2          0.0       0.0       0.0          0.98         44
    182       16.36       10       1       45.1          0.0       0.0       0.0          0.26          2
    183       16.37        9       1       46.8          0.0       0.0       0.0          0.14         62
    184       16.50        7       1       51.0          0.0       0.0       0.0          0.00         10
    185       16.53        7       1       57.4          0.0       0.0       0.0          0.00         37
    186       16.54        4       1       29.1          0.0       0.0       0.0          1.83         54
    187       16.71       12       2       40.5          0.0       0.0       0.0          3.45         36
    188       17.22       12       1       73.2          0.0       0.0       0.0          3.29         40
    189       17.26        9       1       45.8          0.0       0.0       0.0          0.23          7
    190       17.28        3       1       60.2          0.0       0.0       0.0          0.33         60
    191       17.30        9       1       56.2          0.0       0.0       0.0          0.15         22
    192       17.46        4       1       40.2          0.0       0.0       0.0          1.73         38
    193       17.51        6       1       66.6          0.0       0.0       0.0          0.95         48
    194       17.56        5       2       16.0         -2.0       1.0       0.0          1.11         36
    195       17.59        5       2       28.9         18.0      -8.0      -7.0          1.33         52
    196       17.60        5       1       73.7         57.0     -28.0     -24.0          0.83         22
    197       17.64        5       3       20.2         19.0     -10.0       8.0          0.30         59
    198       17.68        4       1       58.1          0.0       0.0       0.0          2.24         47
    199       17.72       12       1       50.7          0.0       0.0       0.0          1.78         24
    200       17.80       10       1       44.9          0.0       0.0       0.0          0.22         57

JW=  1    A=   31.11    NA=   359    Q(I)=0.11/0.05/0.05/0.06/0.11/0.25/0.04/0.04/0.13/0.07/0.06/0.03/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    201       17.90        1       8        0.0          0.0       0.0       0.0          0.74         19
    202       17.91        6       7       12.9          0.0       0.0       0.0          0.30         24
    203       17.99        6       8       68.0          0.0       0.0       0.0          0.75         55
    204       18.01        5       2       51.6        -28.0     -14.0      12.0          0.65         35
    205       18.02        8       2       25.7          0.0       0.0       0.0          0.00         39
    206       18.11        9       1       65.2          0.0       0.0       0.0          0.37         41
    207       18.21        1       8        0.0          0.0       0.0       0.0          0.00         52
    208       18.21        6       3       17.7          0.0       0.0       0.0          0.08         16
    209       18.30        1       2        0.0          0.0       0.0       0.0          1.36         26
    210       18.32        1       6        0.0          0.0       0.0       0.0          2.02         53
    211       18.51        1       3        0.0          0.0       0.0       0.0          0.39         15
    212       18.70        6       4       19.2          0.0       0.0       0.0          0.91         43
    213       18.77        6       8       63.8          0.0       0.0       0.0          0.23         18
    214       18.81        9       1       47.8          0.0       0.0       0.0          0.46         12
    215       18.97        5       2       59.5         37.0      24.0     -15.0          0.34          4
    216       19.02        9       1       56.2          0.0       0.0       0.0          0.34         41
    217       19.09        5       3       19.5         47.0      46.0      20.0          0.31         15
    218       19.09        2       1       36.9          0.0       0.0       0.0          0.53         54
    219       19.20       11       1       44.1          0.0       0.0       0.0          0.52         15
    220       19.36        3       1       57.2          0.0       0.0       0.0          0.33         46
    221       19.43        2       1       38.7          0.0       0.0       0.0          0.00         19
    222       19.43       10       1       54.5          0.0       0.0       0.0          0.24          2
    223       19.43        5       3       19.9        -53.0      19.0     -22.0          0.88         36
    224       19.46       10       1       53.3          0.0       0.0       0.0          0.12         13
    225       19.73       12       1       69.6          0.0       0.0       0.0          2.11         24
    226       19.84        1       8        0.0          0.0       0.0       0.0          1.81         21
    227       20.04        6       1       65.1          0.0       0.0       0.0          1.60         51
    228       20.10        6       1       41.8          0.0       0.0       0.0          0.95         46
    229       20.28       11       1       36.4          0.0       0.0       0.0          0.27         22
    230       20.35        9       1       55.1          0.0       0.0       0.0          0.45         49
    231       20.37       12       2       47.7          0.0       0.0       0.0          3.18         50
    232       20.40        6       4       39.5          0.0       0.0       0.0          0.07         18
    233       20.60        5       2       29.0         25.0      15.0      10.0          0.51         33
    234       20.62        9       1       58.0          0.0       0.0       0.0          0.46         32
    235       20.64        8       2       34.0          0.0       0.0       0.0          0.00          9
    236       20.69        6       7       12.3          0.0       0.0       0.0          0.33         56
    237       20.88        6       6       20.7          0.0       0.0       0.0          0.94         38
    238       20.95       11       1       25.2          0.0       0.0       0.0          0.54         55
    239       20.98       11       2       11.0          0.0       0.0       0.0          0.18         32
    240       21.18        5       2       17.4        -32.0     -27.0     -14.0          0.67         32
    241       21.22        1       1        0.0          0.0       0.0       0.0          0.90         48
    242       21.37        9       1       36.5          0.0       0.0       0.0          0.28         45
    243       21.57        7       1       59.1          0.0       0.0       0.0          0.00         62
    244       21.64        9       1       39.1          0.0       0.0       0.0          0.12         21
    245       21.72       12       1       49.0          0.0       0.0       0.0          1.43         51
    246       21.76        3       1       48.2          0.0       0.0       0.0          1.02         26
    247       21.76        6       7       12.9          0.0       0.0       0.0          0.42         35
    248       21.93        3       1       56.0          0.0       0.0       0.0          0.29         30
    249       22.08        6       8       64.2          0.0       0.0       0.0          0.68         46
    250       22.10        4       1       54.4          0.0       0.0       0.0          0.60         11

JW=  1    A=   31.11    NA=   359    Q(I)=0.11/0.05/0.05/0.06/0.11/0.25/0.04/0.04/0.13/0.07/0.06/0.03/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    251       22.18        6       6       20.2          0.0       0.0       0.0          0.03          8
    252       22.39        7       2       26.8          0.0       0.0       0.0          0.00         46
    253       22.49        6       2       46.3          0.0       0.0       0.0          1.18         50
    254       22.52        6       8       71.1          0.0       0.0       0.0          0.69         46
    255       22.58        1       4        0.0          0.0       0.0       0.0          0.78         13
    256       22.77        9       1       60.1          0.0       0.0       0.0          0.10         62
    257       22.89        9       1       55.6          0.0       0.0       0.0          0.30         17
    258       22.99        9       1       64.3          0.0       0.0       0.0          0.33         32
    259       23.04        9       1       56.0          0.0       0.0       0.0          0.22         59
    260       23.07        8       1       65.3          0.0       0.0       0.0          0.00         41
    261       23.10        6       8       79.6          0.0       0.0       0.0          0.60         30
    262       23.12       12       1       67.0          0.0       0.0       0.0          1.02         18
    263       23.35        5       1       69.0         -2.0       1.0      -0.0          0.49         42
    264       23.38       11       1       52.1          0.0       0.0       0.0          0.14         46
    265       23.38        5       1       41.5         38.0      28.0      16.0          1.04         26
    266       23.40       10       1       40.6          0.0       0.0       0.0          0.17         50
    267       23.41        9       1       66.2          0.0       0.0       0.0          0.35         35
