JW=  1    A=   87.09    NA=  1454    Q(I)=0.10/0.08/0.08/0.10/0.07/0.13/0.06/0.06/0.10/0.08/0.08/0.05/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
      1        0.00        3       1       56.7          0.0       0.0       0.0          0.45          3
      2        0.09       12       1       55.0          0.0       0.0       0.0          1.27         20
      3        0.11        4       2       31.1          0.0       0.0       0.0          0.18         16
      4        0.16        2       1       52.7          0.0       0.0       0.0          0.41         60
      5        0.18       10       1       41.4          0.0       0.0       0.0          0.26          8
      6        0.25        8       1       44.5          0.0       0.0       0.0          0.00         63
      7        0.30        5       1       36.3        -14.0     -13.0      -5.0          1.14         48
      8        0.37        6       2       36.5          0.0       0.0       0.0          0.74         45
      9        0.44        6       1       59.0          0.0       0.0       0.0          1.11         60
     10        0.52        8       1       47.0          0.0       0.0       0.0          0.00         31
     11        0.76        3       1       69.0          0.0       0.0       0.0          0.56         62
     12        0.83        3       1       61.7          0.0       0.0       0.0          0.62         58
     13        0.85        6       1       56.8          0.0       0.0       0.0          1.58         56
     14        0.86        8       1       39.6          0.0       0.0       0.0          0.00         14
     15        0.88        3       1       46.6          0.0       0.0       0.0          0.22         36
     16        0.89        2       1       48.6          0.0       0.0       0.0          0.44          3
     17        0.97       11       1       21.7          0.0       0.0       0.0          0.06         19
     18        1.02       11       2       12.1          0.0       0.0       0.0          1.02         50
     19        1.03        4       1       69.3          0.0       0.0       0.0          0.01          4
     20        1.05        3       1       54.6          0.0       0.0       0.0          0.18         22
     21        1.07        5       2       26.2         14.0       9.0       4.0          0.78         37
     22        1.09        3       1       47.5          0.0       0.0       0.0          0.24         34
     23        1.10       11       1       32.0          0.0       0.0       0.0          0.03         59
     24        1.16        9       1       67.3          0.0       0.0       0.0          0.69         62
     25        1.17        4       1       42.2          0.0       0.0       0.0          0.02          1
     26        1.20        1       9        0.0          0.0       0.0       0.0          0.00         28
     27        1.26        8       2       17.3          0.0       0.0       0.0          0.00         40
     28        1.27        6       7       10.9          0.0       0.0       0.0          0.48         35
     29        1.31        5       2       44.6         18.0      15.0      -6.0          1.45         13
     30        1.31        9       1       65.5          0.0       0.0       0.0          0.32          1
     31        1.31       12       2       20.9          0.0       0.0       0.0          1.38         40
     32        1.34        8       2       32.8          0.0       0.0       0.0          0.00         21
     33        1.41        5       2       51.8        -61.0      55.0     -22.0          0.93          3
     34        1.46        9       1       36.0          0.0       0.0       0.0          0.44         55
